Nom français;Continent
Afghanistan ;Asie
Afrique du Sud ;Afrique
Åland (les Îles);Europe
Albanie ;Europe
Algérie ;Afrique
Allemagne ;Europe
Andorre ;Europe
Angola ;Afrique
Anguilla;Amérique du Nord
Antarctique ;Antarctica
Antigua-et-Barbuda;Amérique du Nord
Arabie saoudite ;Asie
Argentine ;Amérique du Sud
Arménie ;Asie
Aruba;Amérique du Nord
Australie ;Océanie
Autriche ;Europe
Azerbaïdjan ;Asie
Bahamas ;Amérique du Nord
Bahreïn;Asie
Bangladesh ;Asie
Barbade ;Amérique du Nord
Bélarus ;Europe
Belgique ;Europe
Belize ;Amérique du Nord
Bénin ;Afrique
Bermudes ;Amérique du Nord
Bhoutan ;Asie
Bolivie (État plurinational de);Amérique du Sud
Bonaire, Saint-Eustache et Saba;Amérique du Nord
Bosnie-Herzégovine ;Europe
Botswana ;Afrique
Bouvet (l'Île);Amérique du Sud
Brésil ;Amérique du Sud
Brunéi Darussalam ;Asie
Bulgarie ;Europe
Burkina Faso ;Afrique
Burundi ;Afrique
Cabo Verde;Afrique
Caïmans (les Îles);Amérique du Nord
Cambodge ;Asie
Cameroun ;Afrique
Canada ;Amérique du Nord
Chili ;Amérique du Sud
Chine ;Asie
Christmas (l'Île);Océanie
Chypre;Asie
Cocos (les Îles) / Keeling (les Îles);Océanie
Colombie ;Amérique du Sud
Comores ;Afrique
Congo ;Afrique
Congo (la République démocratique du);Afrique
Cook (les Îles);Océanie
Corée (la République de);Asie
Corée (la République populaire démocratique de);Asie
Costa Rica ;Amérique du Nord
Côte d'Ivoire ;Afrique
Croatie ;Europe
Cuba;Amérique du Nord
Curaçao;Amérique du Nord
Danemark ;Europe
Djibouti;Afrique
dominicaine (la République);Amérique du Nord
Dominique ;Amérique du Nord
Égypte ;Afrique
El Salvador;Amérique du Nord
Émirats arabes unis ;Asie
Équateur ;Amérique du Sud
Érythrée ;Afrique
Espagne ;Europe
Estonie ;Europe
Eswatini ;Afrique
États-Unis d'Amérique ;Amérique du Nord
Éthiopie ;Afrique
Falkland (les Îles) /Malouines (les Îles);Amérique du Sud
Féroé (les Îles);Europe
Fidji ;Océanie
Finlande ;Europe
France ;Europe
Gabon ;Afrique
Gambie ;Afrique
